GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,treb,ast,stl,blk,pts,posicion,ronda,altura_cm,rango_pick
33,65.4,102.6,24.4,53.6,56.16,4.7,22.1,8.1,18.9,0.692,0.49,0.45,8.1,1.6,32.4,0.53622842,0.58,0.3333,85.3883,217.197,5.75346,0.387002,5.36646,5.2688,26.3636,1.79443,3.47437,6.6667,1.1212,0.7273,2.0,12.6061,desconocido,R1,210.8,11-20
34,82.4,104.8,24.0,50.5,53.84,2.2,9.2,13.0,17.0,0.658,0.477,0.365,0.1,1.7,45.8,0.89873044,0.5816,0.3333,102.8,176.149,2.9406,2.9932,-0.0526018,3.075,33.2059,2.7958,0.279199,3.3824,2.0882,0.9706,0.0294,15.5,Combo G,R1,193.0,1-10
34,72.9,105.2,19.0,48.9,49.58,3.5,6.6,12.4,14.6,0.545,0.457,0.375,1.6,2.4,17.9,1.36537211,0.5281,0.4192,97.7023,176.727,5.12429,3.17971,1.94458,4.06416,29.5,1.96455,2.09962,2.8824,2.0882,1.2941,0.5294,11.6471,Combo G,R1,188.0,11-20
28,78.4,110.8,29.4,52.6,56.64,3.9,15.8,29.2,18.0,0.783,0.513,0.386,0.6,1.8,33.3,1.58065879,0.6532,0.3714,95.7054,194.087,8.56789,5.21167,3.35622,8.2811,35.1429,5.92089,2.36021,6.3214,5.25,1.1071,0.2143,20.1429,Combo G,R2,195.6,31-40
35,84.7,112.2,28.1,51.0,56.7,8.4,16.7,8.0,11.4,0.782,0.517,0.329,3.1,1.4,46.5,0.59703286,0.6458,0.3797,98.8119,234.276,4.8751,3.51748,1.35762,7.37051,34.2286,5.98994,1.38058,7.6571,1.1429,0.8571,1.0286,21.0857,Stretch 4,R2,205.7,51-60
37,79.1,118.7,22.0,58.6,63.26,5.0,12.3,12.6,17.2,0.87,0.553,0.42,2.2,1.8,34.5,0.94805635,0.7143,0.35,92.3885,216.163,8.47939,5.6772,2.80219,9.50053,32.1892,6.59953,2.901,5.1892,1.973,1.0,0.6757,15.9189,Wing G,R1,195.6,1-10
33,86.5,112.9,28.2,56.1,59.95,9.6,26.8,27.4,18.6,0.67,0.561,0.333,2.5,3.1,76.9,1.4234451,0.7227,0.3416,97.3738,290.86,10.2899,5.24639,5.04354,9.83468,34.8788,6.65406,3.18062,11.7576,4.7879,1.9697,0.8182,19.1515,Wing F,R1,208.3,1-10
35,68.9,106.8,20.2,60.6,60.17,13.6,19.7,3.6,21.7,0.552,0.606,0.0,9.5,1.6,44.8,0.21915903,0.6769,0.3906,87.9861,222.254,7.70478,1.60206,6.10272,7.09472,27.9714,3.51769,3.57703,8.0857,0.4571,0.7429,2.3429,10.8,C,R2,208.3,31-40
35,80.6,117.6,31.1,65.7,64.77,14.2,32.2,16.3,18.2,0.59,0.659,0.375,3.6,1.9,70.6,0.6896479,0.58,0.3333,87.4256,316.56,11.3401,6.90629,4.43384,12.3844,33.2857,9.59816,2.78622,14.4,2.2857,1.1143,1.1714,22.6857,desconocido,R1,208.3,1-10
36,74.2,118.9,25.7,55.2,58.23,13.6,20.2,8.8,11.5,0.737,0.541,0.467,4.8,2.1,33.5,0.74999998,0.7304,0.3799,95.8038,235.735,7.92782,5.11539,2.81243,8.39995,29.8889,7.31961,1.08034,8.9167,1.1667,1.0833,1.3889,17.4722,PF/C,R1,208.3,21-30
